Table Name,State Code,District Code,Area Name,Area,Present Age,Total Women,Total Ever Married Women,Total Ever Married Women - Parity - 0,Total Ever Married Women - Parity - 1,Total Ever Married Women - Parity - 2,Total Ever Married Women - Parity - 3,Total Ever Married Women - Parity - 4,Total Ever Married Women - Parity - 5,Total Ever Married Women - Parity - 6,Total Ever Married Women - Parity - 7+,Total Children Ever Born - Persons,Total Children Ever Born - Male,Total Children Ever Born - Female
F0103,3,0,State - PUNJAB,Rural,40-44,546738,542784,25737,46232,167797,161343,84750,34035,13474,9416,1529781,834444,695337
F0103,3,0,State - PUNJAB,Rural,45-49,469359,466710,20841,35339,120810,139462,84826,37959,15956,11517,1409966,764199,645767
F0103,3,0,State - PUNJAB,Rural,50-54,351994,349818,16120,22539,76284,100642,71268,35113,16180,11672,1125289,611096,514193
F0103,3,0,State - PUNJAB,Rural,55-59,285350,283727,12899,16998,49893,74807,62620,35421,17431,13658,979326,533063,446263
F0103,3,0,State - PUNJAB,Rural,60-64,344904,341803,16590,19649,45999,75541,76372,52047,29770,25835,1282686,694560,588126
F0103,3,0,State - PUNJAB,Rural,65-69,238287,234962,13294,13320,25995,42895,49289,38775,25530,25864,939787,510885,428902
F0103,3,0,State - PUNJAB,Rural,70-74,164996,163291,10749,9861,15565,24643,30204,27207,20204,24858,688211,375380,312831
F0103,3,0,State - PUNJAB,Rural,75-79,86608,85895,5775,4962,7561,11284,14477,14138,11580,16118,379836,208177,171659
F0103,3,0,State - PUNJAB,Rural,80+,138958,135360,10879,8983,12298,15221,19358,19801,17957,30863,611425,335570,275855
F0103,3,0,State - PUNJAB,Urban,All Ages,4853157,2943222,405028,486245,897579,591860,298500,135205,65758,63047,6819269,3734868,3084401
F0103,3,0,State - PUNJAB,Urban,Less than 15,1149818,13127,10264,816,2047,0,0,0,0,0,4910,2654,2256
F0103,3,0,State - PUNJAB,Urban,15-19,436907,46374,35038,6698,2573,1024,1041,0,0,0,19080,10256,8824
F0103,3,0,State - PUNJAB,Urban,20-24,493011,235912,100409,82622,39121,9535,2498,660,258,809,210411,110349,100062
F0103,3,0,State - PUNJAB,Urban,25-29,476196,395187,85281,127614,122300,41867,12193,3019,906,2007,583629,310833,272796
F0103,3,0,State - PUNJAB,Urban,30-34,406768,388901,43196,75219,164393,69411,24082,7356,2478,2766,782961,423495,359466
F0103,3,0,State - PUNJAB,Urban,35-39,379616,373156,28778,47813,156253,87532,33252,11753,4471,3304,867884,479150,388734
F0103,3,0,State - PUNJAB,Urban,40-44,332523,328872,21216,33203,124081,89112,37965,13857,5367,4071,834382,462517,371865
F0103,3,0,State - PUNJAB,Urban,45-49,300277,297977,17833,28874,98670,86310,40201,15197,6214,4678,796243,441971,354272
F0103,3,0,State - PUNJAB,Urban,50-54,238806,236829,14283,21926,69901,68809,36247,14783,6078,4802,661392,368202,293190
F0103,3,0,State - PUNJAB,Urban,55-59,185360,183769,11740,17688,46505,49907,31935,14616,6437,4941,538654,297950,240704
F0103,3,0,State - PUNJAB,Urban,60-64,169203,167055,11795,16270,33002,40132,31516,17770,9016,7554,530479,290672,239807
F0103,3,0,State - PUNJAB,Urban,65-69,108495,106374,8395,10190,16971,22230,20103,13441,7704,7340,361872,196738,165134
F0103,3,0,State - PUNJAB,Urban,70-74,76356,75205,6648,7281,10014,13128,13440,10407,6954,7333,271638,146981,124657
F0103,3,0,State - PUNJAB,Urban,75-79,39855,39304,3602,3917,4664,5872,6604,5543,4175,4927,148799,80655,68144
F0103,3,0,State - PUNJAB,Urban,80+,54493,52165,5882,5576,6264,6482,7169,6693,5642,8457,200855,109066,91789
F0104,4,0,Union Territory - CHANDIGARH,Total,All Ages,474787,272263,31140,47825,91617,52136,26174,12090,5774,5507,630785,338859,291926
F0104,4,0,Union Territory - CHANDIGARH,Total,Less than 15,121770,613,495,25,93,0,0,0,0,0,211,106,105
F0104,4,0,Union Territory - CHANDIGARH,Total,15-19,43897,4030,3034,694,169,61,72,0,0,0,1503,785,718
